Site,Soil_lead_Before_Katrina,Soil_lead_After_Katrina,Change,Ratio,LogRatio
1,711,310,-401,0.4360056259,-0.83
10,37,31,-6,0.8378378378,-0.18
11,46,53,7,1.152173913,0.14
12,90,21,-69,0.2333333333,-1.46
13,1049,648,-401,0.6177311725,-0.48
14,247,87,-160,0.3522267206,-1.04
15,31,40,9,1.2903225806,0.25
16,545,388,-157,0.7119266055,-0.34
17,1137,507,-630,0.4459102902,-0.81
18,799,347,-452,0.4342928661,-0.83
19,187,103,-84,0.550802139,-0.6
2,40,56,16,1.4,0.34
20,184,87,-97,0.472826087,-0.75
21,43,62,19,1.4418604651,0.37
22,203,263,60,1.2955665025,0.26
23,410,648,238,1.5804878049,0.46
24,407,394,-13,0.9680589681,-0.03
25,228,165,-63,0.7236842105,-0.32
26,761,448,-313,0.5886990802,-0.53
27,291,62,-229,0.2130584192,-1.55
28,573,234,-339,0.4083769634,-0.9
29,971,375,-596,0.386199794,-0.95
3,96,84,-12,0.875,-0.13
30,482,228,-254,0.4730290456,-0.75
31,128,231,103,1.8046875,0.59
32,394,372,-22,0.9441624365,-0.06
33,281,413,132,1.4697508897,0.39
34,476,319,-157,0.6701680672,-0.4
35,770,332,-438,0.4311688312,-0.84
36,560,319,-241,0.5696428571,-0.56
37,34,53,19,1.5588235294,0.44
38,31,37,6,1.1935483871,0.18
39,28,37,9,1.3214285714,0.28
4,122,81,-41,0.6639344262,-0.41
40,56,43,-13,0.7678571429,-0.26
41,46,87,41,1.8913043478,0.64
42,40,24,-16,0.6,-0.51
43,112,78,-34,0.6964285714,-0.36
44,40,65,25,1.625,0.49
45,43,53,10,1.2325581395,0.21
46,71,84,13,1.1830985915,0.17
5,200,228,28,1.14,0.13
6,175,93,-82,0.5314285714,-0.63
7,1789,516,-1273,0.2884292901,-1.24
8,209,369,160,1.7655502392,0.57
9,87,40,-47,0.4597701149,-0.78
