major,scoreDifference
M,-20
M,1
HS,0
M,5
HS,33
MST,0
M,-5
MST,-14
HS,10
MST,-1
MST,-5
HS,25
HS,10
M,30
M,-25
MST,-15
HS,15
HS,-1
HS,5
HS,0
HS,5
HS,-4
HS,-20
HS,35
HS,-13
MST,-5
M,0
MST,-1
MST,-35
O,5
O,25
HS,10
HS,0
MST,0
MST,0
HS,5
HS,3
HS,8
HS,0
HS,-5
MST,-1
M,25
M,-5
MST,5
O,-10
O,40
HS,7
HS,20
HS,5
MST,9
MST,-10
HS,45
MST,5
M,10
MST,10
MST,-5
MST,30
O,50
O,5
HS,-15
HS,0
HS,5
MST,5
MST,-10
MST,10
MST,15
HS,-5
MST,-12
MST,15
MST,-10
O,-10
O,-1
O,40
HS,-5
HS,-5
HS,10
MST,-10
MST,-20
HS,5
HS,-5
M,10
O,-15
O,-5
O,17
O,0
HS,0
HS,-10
MST,-5
MST,-25
HS,50
HS,0
HS,50
HS,-30
HS,10
HS,10
MST,15
M,0
HS,49
HS,-10
HS,0
MST,-12
MST,30
MST,-85
MST,0
HS,-55
HS,0
HS,-10
HS,11
MST,15
MST,-15
O,0
O,-20
HS,30
HS,-20
MST,5
MST,-15
HS,5
HS,5
O,3
HS,-15
HS,30
MST,0
MST,-25
HS,65
MST,-5
M,-22
MST,-15
MST,29
HS,15
HS,25
MST,15
MST,13
MST,10
MST,0
MST,-60
O,5
O,30
O,12
HS,10
HS,5
HS,-39
HS,0
MST,10
O,20
HS,20
HS,10
HS,48
HS,-5
HS,-5
MST,0
O,25
O,0
HS,15
HS,-5
HS,15
HS,-10
MST,-11
O,10
MST,25
MST,10
MST,-2
MST,5
MST,23
MST,-10
O,85
MST,-23
M,15
MST,45
MST,20
O,35
HS,25
HS,25
MST,-15
O,0
MST,5
MST,-10
HS,45
M,15
MST,0
O,60
HS,60
HS,5
HS,10
O,0
M,15
O,20
O,-5
MST,10
MST,-5
HS,-13
MST,10
MST,10
MST,-5
O,10
HS,20
HS,-5
HS,-10
HS,-30
HS,-5
HS,-20
